Hour,Temperature,Energy_production_DC_35,Energy_production_AC_35,Rad_onto_module_area_35,Energy_production_DC_45,Energy_production_AC_45,Rad_onto_module_area_45
0,9.5,0,0,0,0,0,0
1,9.2,0,0,0,0,0,0
2,8.9,0,0,0,0,0,0
3,8.7,0,0,0,0,0,0
4,8.6,0,0,0,0,0,0
5,8.4,0,0,0,0,0,0
6,8.3,0,0,0,0,0,0
7,8.2,0,0,0,0,0,0
8,8.4,17,13,125,16,12,120
9,9.8,932,892,"5,216","1,018",975,"5,671"
10,11.2,"1,616","1,550","8,846","1,731","1,661","9,451"
11,12.5,"2,262","2,173","12,289","2,415","2,321","13,095"
12,13.3,"2,287","2,197","12,453","2,422","2,327","13,167"
13,13.8,"2,182","2,096","11,919","2,324","2,232","12,667"
14,13.7,"1,177","1,127","6,592","1,232","1,180","6,882"
15,13.1,409,388,"2,428",409,388,"2,428"
16,12.2,8,5,65,8,5,62
17,11.8,0,0,0,0,0,0
18,11.5,0,0,0,0,0,0
19,11.1,0,0,0,0,0,0
20,10.7,0,0,0,0,0,0
21,10.4,0,0,0,0,0,0
22,10,0,0,0,0,0,0
23,9.7,0,0,0,0,0,0
24,9.2,0,0,0,0,0,0
25,8.5,0,0,0,0,0,0
26,8.2,0,0,0,0,0,0
27,8,0,0,0,0,0,0
28,7.8,0,0,0,0,0,0
29,7.5,0,0,0,0,0,0
30,7.3,0,0,0,0,0,0
31,7.1,0,0,0,0,0,0
32,7.1,8,5,64,8,5,62
33,7.6,178,167,"1,102",170,159,"1,056"
34,8,374,355,"2,198",357,339,"2,108"
35,8.4,499,475,"2,883",477,454,"2,765"
36,8.5,469,446,"2,723",449,427,"2,611"
37,8.7,508,483,"2,933",486,462,"2,813"
38,8.7,377,358,"2,223",361,342,"2,131"
39,8.5,197,185,"1,215",189,177,"1,165"
40,8.1,11,7,83,10,7,79
41,7.8,0,0,0,0,0,0
42,7.4,0,0,0,0,0,0
43,7,0,0,0,0,0,0
44,6.7,0,0,0,0,0,0
45,6.3,0,0,0,0,0,0
46,6,0,0,0,0,0,0
47,5.7,0,0,0,0,0,0
48,5.5,0,0,0,0,0,0
49,5.3,0,0,0,0,0,0
50,5.2,0,0,0,0,0,0
51,5.1,0,0,0,0,0,0
52,5.1,0,0,0,0,0,0
53,5.1,0,0,0,0,0,0
54,5.1,0,0,0,0,0,0
55,5,0,0,0,0,0,0
56,5.4,32,27,226,31,26,216
57,7.6,"1,902","1,825","10,230","2,166","2,080","11,601"
58,9.8,"2,849","2,740","15,256","3,162","3,041","16,898"
59,12.2,"4,608","4,442","24,825","5,089","4,909","27,468"
60,13.5,"3,708","3,570","20,046","4,046","3,897","21,872"
61,13.5,"1,705","1,636","9,388","1,798","1,725","9,880"
62,13.5,"2,076","1,994","11,354","2,260","2,171","12,328"
63,12.9,"1,769","1,697","9,704","2,003","1,923","10,939"
64,11.5,29,24,209,28,23,200
65,10.7,0,0,0,0,0,0
66,9.9,0,0,0,0,0,0
67,9.1,0,0,0,0,0,0
68,8.3,0,0,0,0,0,0
69,7.5,0,0,0,0,0,0
70,6.7,0,0,0,0,0,0
71,5.9,0,0,0,0,0,0
72,4.9,0,0,0,0,0,0
73,3.7,0,0,0,0,0,0
74,2.6,0,0,0,0,0,0
75,2,0,0,0,0,0,0
76,1.3,0,0,0,0,0,0
77,0.7,0,0,0,0,0,0
78,0.3,0,0,0,0,0,0
79,-0.2,0,0,0,0,0,0
80,-0.2,18,14,130,17,13,125
81,1.8,"2,730","2,624","14,250","3,133","3,014","16,310"
82,3.9,"4,459","4,298","23,316","5,003","4,825","26,195"
83,5.5,"5,208","5,024","27,447","5,777","5,576","30,529"
84,6.6,"5,560","5,366","29,450","6,147","5,936","32,670"
85,7.2,"5,171","4,988","27,417","5,732","5,533","30,476"
86,7.2,"4,384","4,224","23,193","4,911","4,736","26,020"
87,6.4,"2,882","2,771","15,252","3,298","3,173","17,416"
88,4.8,32,27,225,31,25,215
89,4.3,0,0,0,0,0,0
90,3.8,0,0,0,0,0,0
91,3.3,0,0,0,0,0,0
92,2.8,0,0,0,0,0,0
93,2.3,0,0,0,0,0,0
94,1.8,0,0,0,0,0,0
95,1.3,0,0,0,0,0,0
96,1.2,0,0,0,0,0,0
97,1.1,0,0,0,0,0,0
98,1.1,0,0,0,0,0,0
99,1.1,0,0,0,0,0,0
100,1,0,0,0,0,0,0
101,1,0,0,0,0,0,0
102,1,0,0,0,0,0,0
103,1,0,0,0,0,0,0
104,1.1,7,4,53,6,3,51
105,1.7,195,183,"1,179",187,175,"1,131"
106,2.4,357,339,"2,071",342,324,"1,986"
107,3,460,438,"2,630",440,419,"2,522"
108,3.3,484,460,"2,758",463,440,"2,645"
109,3.6,498,474,"2,836",476,453,"2,720"
110,3.6,293,277,"1,730",280,265,"1,659"
111,3.3,162,152,998,155,145,957
112,2.6,12,8,88,11,7,85
113,2.7,0,0,0,0,0,0
114,2.4,0,0,0,0,0,0
115,2.2,0,0,0,0,0,0
116,1.9,0,0,0,0,0,0
117,1.7,0,0,0,0,0,0
118,1.4,0,0,0,0,0,0
119,1.1,0,0,0,0,0,0
120,0.6,0,0,0,0,0,0
121,0.1,0,0,0,0,0,0
122,-0.5,0,0,0,0,0,0
123,-0.8,0,0,0,0,0,0
124,-1.1,0,0,0,0,0,0
125,-1.4,0,0,0,0,0,0
126,-1.6,0,0,0,0,0,0
127,-1.8,0,0,0,0,0,0
128,-1.7,11,7,82,10,7,79
129,-0.04,"1,547","1,484","8,186","1,744","1,673","9,179"
130,1.7,"2,842","2,733","14,809","3,152","3,033","16,390"
131,3.3,"4,126","3,975","21,510","4,558","4,394","23,768"
132,4.4,"4,002","3,855","20,927","4,388","4,229","22,947"
133,4.9,"3,459","3,329","18,134","3,792","3,651","19,858"
134,4.8,"2,192","2,105","11,611","2,382","2,289","12,588"
135,4,765,731,"4,247",817,781,"4,521"
136,2.8,11,7,83,10,7,80
137,2.4,0,0,0,0,0,0
138,2.1,0,0,0,0,0,0
139,1.7,0,0,0,0,0,0
140,1.4,0,0,0,0,0,0
141,1,0,0,0,0,0,0
142,0.7,0,0,0,0,0,0
143,0.3,0,0,0,0,0,0
144,0.1,0,0,0,0,0,0
145,-0.1,0,0,0,0,0,0
146,-0.4,0,0,0,0,0,0
147,-0.5,0,0,0,0,0,0
148,-0.6,0,0,0,0,0,0
149,-0.7,0,0,0,0,0,0
150,-0.8,0,0,0,0,0,0
151,-0.8,0,0,0,0,0,0
152,-0.7,8,5,64,8,5,61
153,0.6,482,459,"2,727",494,470,"2,787"
154,1.8,887,848,"4,857",891,852,"4,876"
155,3.1,"1,552","1,488","8,295","1,606","1,540","8,571"
156,3.9,"1,535","1,472","8,227","1,576","1,511","8,438"
157,4.5,"1,926","1,849","10,253","2,027","1,946","10,771"
158,4.7,"1,480","1,419","7,968","1,565","1,500","8,402"
159,4.4,981,939,"5,385","1,057","1,012","5,777"
160,3.4,38,32,259,36,30,248
161,3.1,0,0,0,0,0,0
162,2.8,0,0,0,0,0,0
163,2.5,0,0,0,0,0,0
164,2.2,0,0,0,0,0,0
165,1.9,0,0,0,0,0,0
166,1.5,0,0,0,0,0,0
167,1.2,0,0,0,0,0,0
168,0.7,0,0,0,0,0,0
169,0.6,0,0,0,0,0,0
170,0.2,0,0,0,0,0,0
171,0.04,0,0,0,0,0,0
172,-0.2,0,0,0,0,0,0
173,-0.3,0,0,0,0,0,0
174,-0.4,0,0,0,0,0,0
