Hour,Temperature,Energy_production_DC_35,Energy_production_AC_35,Rad_onto_module_area_35,Energy_production_DC_45,Energy_production_AC_45,Rad_onto_module_area_45
0,9,0,0,0,0,0,0
1,10,0,0,0,0,0,0
2,9.8,0,0,0,0,0,0
3,9.7,0,0,0,0,0,0
4,9.6,0,0,0,0,0,0
5,9.5,0,0,0,0,0,0
6,9.3,0,0,0,0,0,0
7,9.2,0,0,0,0,0,0
8,9.2,2,0.02,10,1,0.02,10
9,9.2,40,9,221,39,8,213
10,9.2,94,38,490,90,36,472
11,9.2,140,71,717,135,67,691
12,9.2,167,92,846,160,87,815
13,9.2,138,70,709,133,66,682
14,9.2,86,33,453,83,31,436
15,9.1,30,5,167,29,5,161
16,8.9,0,0,0,0,0,0
17,8.6,0,0,0,0,0,0
18,8.1,0,0,0,0,0,0
19,8.5,0,0,0,0,0,0
20,8.1,0,0,0,0,0,0
21,8.1,0,0,0,0,0,0
22,8.1,0,0,0,0,0,0
23,8.1,0,0,0,0,0,0
24,7.9,0,0,0,0,0,0
25,7.5,0,0,0,0,0,0
26,7.4,0,0,0,0,0,0
27,7.3,0,0,0,0,0,0
28,7.1,0,0,0,0,0,0
29,7,0,0,0,0,0,0
30,6.9,0,0,0,0,0,0
31,6.8,0,0,0,0,0,0
32,6.8,2,0.02,12,2,0.02,11
33,7.1,119,55,609,114,52,587
34,7.6,320,226,"1,563",307,215,"1,505"
35,8,451,350,"2,168",433,333,"2,089"
36,8.3,524,422,"2,507",504,402,"2,416"
37,8.4,414,315,"2,003",398,300,"1,929"
38,8.3,217,134,"1,084",209,127,"1,044"
39,8,71,24,375,68,23,362
40,7.8,0,0,0,0,0,0
41,7.5,0,0,0,0,0,0
42,7.3,0,0,0,0,0,0
43,7,0,0,0,0,0,0
44,6.8,0,0,0,0,0,0
45,6.5,0,0,0,0,0,0
46,6.3,0,0,0,0,0,0
47,6,0,0,0,0,0,0
48,5.8,0,0,0,0,0,0
49,5.6,0,0,0,0,0,0
50,5.4,0,0,0,0,0,0
51,5.4,0,0,0,0,0,0
52,5.3,0,0,0,0,0,0
53,5.3,0,0,0,0,0,0
54,5.3,0,0,0,0,0,0
55,5.3,0,0,0,0,0,0
56,5.4,2,0.02,11,2,0.02,11
57,7,"2,598","2,507","11,487","3,071","2,984","13,481"
58,8,"4,349","4,268","18,883","5,025","4,945","21,694"
59,10,"5,692","5,611","24,550","6,505","6,420","27,925"
60,11,"6,081","5,998","26,232","6,925","6,837","29,741"
61,10,"5,240","5,160","22,695","5,985","5,902","25,794"
62,11,"2,660","2,569","11,874","3,050","2,963","13,536"
63,11,"1,372","1,268","6,297","1,629","1,527","7,417"
64,9.7,0,0,0,0,0,0
65,9.4,0,0,0,0,0,0
66,9,0,0,0,0,0,0
67,8.7,0,0,0,0,0,0
68,8.3,0,0,0,0,0,0
69,8,0,0,0,0,0,0
70,7.7,0,0,0,0,0,0
71,7.3,0,0,0,0,0,0
72,6.6,0,0,0,0,0,0
73,5.9,0,0,0,0,0,0
74,5,0,0,0,0,0,0
75,4.5,0,0,0,0,0,0
76,4.1,0,0,0,0,0,0
77,3.6,0,0,0,0,0,0
78,3.3,0,0,0,0,0,0
79,2.9,0,0,0,0,0,0
80,2.8,2,0.02,11,2,0.02,10
81,4,"1,183","1,078","5,382","1,356","1,253","6,131"
82,4,539,436,"2,548",534,431,"2,528"
83,4.2,499,397,"2,368",479,377,"2,279"
84,5,"2,782","2,692","12,208","3,066","2,978","13,395"
85,4.9,556,452,"2,630",534,431,"2,532"
86,5,"2,742","2,652","12,046","3,106","3,019","13,574"
87,5,"2,846","2,757","12,478","3,408","3,323","14,825"
88,4.3,0,0,0,0,0,0
89,3.9,0,0,0,0,0,0
90,3.5,0,0,0,0,0,0
91,3.1,0,0,0,0,0,0
92,2.7,0,0,0,0,0,0
93,2.3,0,0,0,0,0,0
94,2,0,0,0,0,0,0
95,1.6,0,0,0,0,0,0
96,1.5,0,0,0,0,0,0
