# Renewables.ninja Weather (Point API) - 53.550, 10.001 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Berlin, swgdn in W/m²,,,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Berlin"""," ""swgdn"": ""W/m\u00b2""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.550341"""," ""lon"": ""10.000654"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""var_t2m"": false"," ""var_prectotland"": false"," ""var_precsnoland"": false"," ""var_snomas"": false"," ""var_rhoa"": false"," ""var_swgdn"": true"," ""var_swtdn"": false"," ""var_cldtot"": false}}"
time,local_time,swgdn,,,,,,,,,,,,,,,
2019-01-01 0:00,2019-01-01 1:00,0,,,,,,,,,,,,,,,
2019-01-01 1:00,2019-01-01 2:00,0,,,,,,,,,,,,,,,
2019-01-01 2:00,2019-01-01 3:00,0,,,,,,,,,,,,,,,
2019-01-01 3:00,2019-01-01 4:00,0,,,,,,,,,,,,,,,
2019-01-01 4:00,2019-01-01 5:00,0,,,,,,,,,,,,,,,
2019-01-01 5:00,2019-01-01 6:00,0,,,,,,,,,,,,,,,
2019-01-01 6:00,2019-01-01 7:00,0,,,,,,,,,,,,,,,
2019-01-01 7:00,2019-01-01 8:00,0.278,,,,,,,,,,,,,,,
2019-01-01 8:00,2019-01-01 9:00,25.027,,,,,,,,,,,,,,,
2019-01-01 9:00,2019-01-01 10:00,81.572,,,,,,,,,,,,,,,
2019-01-01 10:00,2019-01-01 11:00,142.174,,,,,,,,,,,,,,,
2019-01-01 11:00,2019-01-01 12:00,161.002,,,,,,,,,,,,,,,
2019-01-01 12:00,2019-01-01 13:00,136.159,,,,,,,,,,,,,,,
2019-01-01 13:00,2019-01-01 14:00,79.126,,,,,,,,,,,,,,,
